epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,1249,,,,0.3162287771701813,0.4043917953968048,0.155794158577919
0,1249,0.24826808273792267,0.402481347322464,0.15761199593544006,,,
1,2499,,,,0.3470407724380493,0.44558992981910706,0.17498968541622162
1,2499,0.3666377365589142,0.4480154514312744,0.18500198423862457,,,
2,3749,,,,0.3860156238079071,0.4708017408847809,0.19669896364212036
2,3749,0.4053882658481598,0.47043657302856445,0.20658323168754578,,,
3,4999,,,,0.3754386901855469,0.4614931344985962,0.19067858159542084
3,4999,0.43258243799209595,0.4893004894256592,0.22236812114715576,,,
4,6249,,,,0.4316791892051697,0.4923023581504822,0.22321319580078125
4,6249,0.4417751431465149,0.4944429099559784,0.2279844582080841,,,
5,7499,,,,0.4197959303855896,0.48875799775123596,0.21585485339164734
5,7499,0.4587896466255188,0.5082235336303711,0.2388257384300232,,,
6,8749,,,,0.433215469121933,0.48906880617141724,0.22299706935882568
6,8749,0.46867480874061584,0.5166414976119995,0.24523994326591492,,,
7,9999,,,,0.4159175753593445,0.4958166480064392,0.21481625735759735
7,9999,0.47218751907348633,0.5190315246582031,0.2475307583808899,,,
8,11249,,,,0.4538356065750122,0.5100196003913879,0.23597127199172974
8,11249,0.48824748396873474,0.5287972092628479,0.2574947476387024,,,
9,12499,,,,0.44803866744041443,0.5136539340019226,0.23403200507164001
9,12499,0.4916410744190216,0.5339573621749878,0.26037320494651794,,,
10,13749,,,,0.4917578399181366,0.5216096043586731,0.25892531871795654
10,13749,0.5010606646537781,0.5400821566581726,0.266376256942749,,,
11,14999,,,,0.4978855848312378,0.524630069732666,0.2620805501937866
11,14999,0.5050265192985535,0.5455686450004578,0.2695959806442261,,,
12,16249,,,,0.49443650245666504,0.5277877449989319,0.26037365198135376
12,16249,0.523979127407074,0.5574790835380554,0.28195154666900635,,,
13,17499,,,,0.5046072006225586,0.5348706245422363,0.26714980602264404
13,17499,0.5200386047363281,0.5548164248466492,0.27941080927848816,,,
14,18749,,,,0.5319238305091858,0.5504506826400757,0.28579163551330566
14,18749,0.5247610807418823,0.5635434985160828,0.2835724651813507,,,
15,19999,,,,0.5198149085044861,0.5469033122062683,0.2777678370475769
15,19999,0.4626917839050293,0.5660961270332336,0.2862928509712219,,,
16,21249,,,,0.5236618518829346,0.547487735748291,0.2807829678058624
16,21249,0.4700755774974823,0.5699726343154907,0.29162994027137756,,,
17,22499,,,,0.521938681602478,0.5490374565124512,0.2789621651172638
17,22499,0.47530895471572876,0.5734962224960327,0.2958140969276428,,,
18,23749,,,,0.5063251256942749,0.533698558807373,0.26975053548812866
18,23749,0.47844526171684265,0.5775666832923889,0.29857325553894043,,,
19,24999,,,,0.4916197657585144,0.5341137051582336,0.2607809007167816
19,24999,0.4888087213039398,0.5841735005378723,0.3067014217376709,,,
20,26249,,,,0.5321958065032959,0.5569413900375366,0.2863842248916626
20,26249,0.48654794692993164,0.5850161910057068,0.3053097426891327,,,
21,27499,,,,0.46546927094459534,0.5581499338150024,0.28622835874557495
21,27499,0.4942640960216522,0.5878286957740784,0.3110258877277374,,,
22,28749,,,,0.45984822511672974,0.5447087287902832,0.280873566865921
22,28749,0.5028405785560608,0.5925958156585693,0.3179245591163635,,,
23,29999,,,,0.5108809471130371,0.5430706739425659,0.2731334865093231
23,29999,0.5047139525413513,0.5972243547439575,0.31994402408599854,,,
24,31249,,,,0.46390804648399353,0.5594614148139954,0.28603801131248474
24,31249,0.5051384568214417,0.5987113118171692,0.32018184661865234,,,
25,32499,,,,0.4769500195980072,0.5686620473861694,0.29591473937034607
25,32499,0.5147897601127625,0.601893961429596,0.3270033895969391,,,
26,33749,,,,0.4755786955356598,0.5575475692749023,0.2926780581474304
26,33749,0.5086321830749512,0.6016589403152466,0.3233950436115265,,,
27,34999,,,,0.4817250669002533,0.567613959312439,0.2990927994251251
27,34999,0.504828155040741,0.597399115562439,0.31961503624916077,,,
28,36249,,,,0.4780241847038269,0.5654474496841431,0.2960130274295807
28,36249,0.5186127424240112,0.6048359870910645,0.32990291714668274,,,
29,37499,,,,0.48296648263931274,0.563556969165802,0.2986558675765991
29,37499,0.5206788182258606,0.6092057228088379,0.332753449678421,,,
30,38749,,,,0.4855048358440399,0.5696031451225281,0.30099809169769287
30,38749,0.5331080555915833,0.6130977272987366,0.3415064811706543,,,
31,39999,,,,0.4919686019420624,0.5732105374336243,0.30636927485466003
31,39999,0.5347999334335327,0.6142616271972656,0.3420620262622833,,,
32,41249,,,,0.5050265192985535,0.5816460847854614,0.3158414363861084
32,41249,0.5332328081130981,0.616339921951294,0.3411939740180969,,,
33,42499,,,,0.4695139527320862,0.5618777275085449,0.2887665927410126
33,42499,0.5426890254020691,0.6192588806152344,0.3494434952735901,,,
34,43749,,,,0.48740944266319275,0.5735738277435303,0.30273211002349854
34,43749,0.5459898710250854,0.6190042495727539,0.35042330622673035,,,
35,44999,,,,0.48125433921813965,0.5683425664901733,0.2983572781085968
35,44999,0.5535837411880493,0.6231609582901001,0.35593315958976746,,,
36,46249,,,,0.4874131381511688,0.5699671506881714,0.3013070523738861
36,46249,0.5452443361282349,0.6231400370597839,0.3512831926345825,,,
37,47499,,,,0.47573545575141907,0.5601874589920044,0.2922106981277466
37,47499,0.5521135330200195,0.625728189945221,0.3565249741077423,,,
38,48749,,,,0.5003335475921631,0.579727292060852,0.3123575747013092
38,48749,0.5564187169075012,0.631502091884613,0.3597958981990814,,,
39,49999,,,,0.5022180676460266,0.5785289406776428,0.31267860531806946
39,49999,0.5553802847862244,0.6272609233856201,0.357276052236557,,,
40,51249,,,,0.5044691562652588,0.5798409581184387,0.3145453929901123
40,51249,0.5545770525932312,0.6269264221191406,0.359070748090744,,,
41,52499,,,,0.5008872747421265,0.5770692825317383,0.3113841414451599
41,52499,0.5534408688545227,0.628531813621521,0.3569324016571045,,,
42,53749,,,,0.4929863512516022,0.5707875490188599,0.30540400743484497
42,53749,0.5545971989631653,0.6320883631706238,0.358969509601593,,,
43,54999,,,,0.5021606087684631,0.5781123042106628,0.3126785159111023
43,54999,0.5615244507789612,0.6310727000236511,0.3632660210132599,,,
44,56249,,,,0.4850836992263794,0.5685171484947205,0.300022155046463
44,56249,0.5551241636276245,0.6277142763137817,0.3591251075267792,,,
