epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,1249,,,,0.5025395154953003,0.6014227271080017,0.27191734313964844
0,1249,0.4328514635562897,0.5145114064216614,0.22129248082637787,,,
1,2499,,,,0.6082769632339478,0.6336174011230469,0.332574725151062
1,2499,0.5482064485549927,0.6074444055557251,0.2976349890232086,,,
2,3749,,,,0.6796262264251709,0.6595481634140015,0.4627343416213989
2,3749,0.5506588816642761,0.646752119064331,0.35788390040397644,,,
3,4999,,,,0.6472246646881104,0.6999143362045288,0.5254849195480347
3,4999,0.6151812672615051,0.6836981773376465,0.4766893982887268,,,
4,6249,,,,0.6598906517028809,0.7044451236724854,0.5402671098709106
4,6249,0.6565715074539185,0.7018342614173889,0.5314038395881653,,,
5,7499,,,,0.6786346435546875,0.7076100707054138,0.5471102595329285
5,7499,0.6906591653823853,0.7154319882392883,0.5575048327445984,,,
6,8749,,,,0.6896249055862427,0.665599524974823,0.5519632697105408
6,8749,0.7194762229919434,0.7263281941413879,0.5777902007102966,,,
7,9999,,,,0.7261841893196106,0.7301986813545227,0.5835504531860352
7,9999,0.7483099699020386,0.7373756766319275,0.6131903529167175,,,
8,11249,,,,0.7357403039932251,0.726830244064331,0.600272536277771
8,11249,0.7559855580329895,0.7452995777130127,0.6246875524520874,,,
9,12499,,,,0.7335246205329895,0.7332966327667236,0.5998632311820984
9,12499,0.7612853050231934,0.744670569896698,0.629859447479248,,,
10,13749,,,,0.7397134304046631,0.7376664280891418,0.6035115122795105
10,13749,0.7730885148048401,0.7531591057777405,0.6425724029541016,,,
11,14999,,,,0.7221038341522217,0.7179853916168213,0.5762943625450134
11,14999,0.7732656002044678,0.7589191794395447,0.6402098536491394,,,
12,16249,,,,0.7368842959403992,0.744380533695221,0.5972879528999329
12,16249,0.7889856696128845,0.7677261829376221,0.6612362265586853,,,
13,17499,,,,0.7496483325958252,0.7433817982673645,0.6173762679100037
13,17499,0.7936671376228333,0.7713443636894226,0.668931782245636,,,
14,18749,,,,0.7454400062561035,0.7444737553596497,0.6081387400627136
14,18749,0.8011342883110046,0.7774261832237244,0.6793330907821655,,,
15,19999,,,,0.7448238134384155,0.7461025714874268,0.6061823964118958
15,19999,0.8061625957489014,0.7792271375656128,0.6835202574729919,,,
16,21249,,,,0.7581228017807007,0.7517067790031433,0.6245986223220825
16,21249,0.8070959448814392,0.7836335897445679,0.684494137763977,,,
17,22499,,,,0.7508362531661987,0.7495507597923279,0.6190622448921204
17,22499,0.814081072807312,0.7861183285713196,0.6946703791618347,,,
18,23749,,,,0.7702884078025818,0.7550728917121887,0.6418924331665039
18,23749,0.8148452639579773,0.7882830500602722,0.6952847838401794,,,
19,24999,,,,0.7697994112968445,0.759944498538971,0.6426142454147339
19,24999,0.824741542339325,0.7952114343643188,0.7098212242126465,,,
20,26249,,,,0.7701228857040405,0.7559746503829956,0.64182049036026
20,26249,0.8244193196296692,0.7947532534599304,0.7093186378479004,,,
21,27499,,,,0.7454546689987183,0.7509989142417908,0.6088336706161499
21,27499,0.830534815788269,0.7992369532585144,0.717782735824585,,,
22,28749,,,,0.7720869779586792,0.7575740814208984,0.6437901854515076
22,28749,0.8323544263839722,0.8002892136573792,0.7204123139381409,,,
23,29999,,,,0.7655029296875,0.7605394721031189,0.6318293809890747
23,29999,0.8349642157554626,0.8022162914276123,0.7235079407691956,,,
24,31249,,,,0.7546594738960266,0.7580437660217285,0.6190087795257568
24,31249,0.8365690112113953,0.8083261251449585,0.7267754673957825,,,
25,32499,,,,0.7554425597190857,0.7510673999786377,0.6238687038421631
25,32499,0.8419556021690369,0.8095670938491821,0.7342423796653748,,,
26,33749,,,,0.768258273601532,0.7630176544189453,0.6423447132110596
26,33749,0.8466880321502686,0.813535213470459,0.74150550365448,,,
27,34999,,,,0.7756651639938354,0.7650821805000305,0.6487951278686523
27,34999,0.8459112644195557,0.8136165738105774,0.7396828532218933,,,
28,36249,,,,0.7695449590682983,0.7648289203643799,0.6435328722000122
28,36249,0.8485780358314514,0.8155892491340637,0.7444177865982056,,,
29,37499,,,,0.7764713764190674,0.7636652588844299,0.6499415636062622
29,37499,0.8512443900108337,0.8168779015541077,0.7482337951660156,,,
30,38749,,,,0.7808362245559692,0.7679965496063232,0.6550270318984985
30,38749,0.8526812195777893,0.8186099529266357,0.750501275062561,,,
31,39999,,,,0.7825571298599243,0.769226610660553,0.657453179359436
31,39999,0.8520227074623108,0.8203531503677368,0.7487794160842896,,,
32,41249,,,,0.7783849239349365,0.7635756731033325,0.6523855328559875
32,41249,0.851958155632019,0.820519208908081,0.7486552596092224,,,
33,42499,,,,0.7744693756103516,0.7675366401672363,0.645167350769043
33,42499,0.8537646532058716,0.8222646117210388,0.7509411573410034,,,
34,43749,,,,0.7798264026641846,0.7674962878227234,0.6543236374855042
34,43749,0.856974720954895,0.824639618396759,0.7561585903167725,,,
35,44999,,,,0.7793189287185669,0.7686828970909119,0.6541763544082642
35,44999,0.8589641451835632,0.8256678581237793,0.7595880627632141,,,
36,46249,,,,0.7788374423980713,0.7670959830284119,0.6534781455993652
36,46249,0.8577058911323547,0.8246027827262878,0.7579525709152222,,,
37,47499,,,,0.7809954881668091,0.7684381008148193,0.6558464765548706
37,47499,0.8598737120628357,0.8257061243057251,0.7610601186752319,,,
38,48749,,,,0.7818557620048523,0.7704694867134094,0.6571823358535767
38,48749,0.8611493706703186,0.8276584148406982,0.7630491256713867,,,
39,49999,,,,0.7819450497627258,0.7709209322929382,0.6573622822761536
39,49999,0.8629336953163147,0.8291133046150208,0.7655729651451111,,,
40,51249,,,,0.7796016931533813,0.7701526284217834,0.6549212336540222
40,51249,0.8604680299758911,0.8272588849067688,0.7619787454605103,,,
41,52499,,,,0.7816658020019531,0.7708996534347534,0.6571195125579834
41,52499,0.8606352806091309,0.8283832669258118,0.762014627456665,,,
42,53749,,,,0.780608057975769,0.7700725197792053,0.6560121178627014
42,53749,0.8627042174339294,0.8286078572273254,0.7657834887504578,,,
43,54999,,,,0.7818344831466675,0.7712138891220093,0.6575416326522827
43,54999,0.8597054481506348,0.829477846622467,0.7597845196723938,,,
44,56249,,,,0.7812656760215759,0.7705824971199036,0.6567137241363525
44,56249,0.8615718483924866,0.8279260396957397,0.7631986141204834,,,
