epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,1249,,,,0.4614969789981842,0.5338298082351685,0.24797913432121277
0,1249,0.39741724729537964,0.47221606969833374,0.20532795786857605,,,
1,2499,,,,0.6101188659667969,0.6192470192909241,0.3469769060611725
1,2499,0.523432195186615,0.5634564757347107,0.28475457429885864,,,
2,3749,,,,0.6383453607559204,0.6369577050209045,0.3688656985759735
2,3749,0.5954858660697937,0.61627197265625,0.33737891912460327,,,
3,4999,,,,0.5777895450592041,0.6517603397369385,0.38739025592803955
3,4999,0.5755577683448792,0.6571637988090515,0.3848489224910736,,,
4,6249,,,,0.603800892829895,0.6814836859703064,0.41366827487945557
4,6249,0.6089919805526733,0.6776829361915588,0.41359564661979675,,,
