epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,1249,,,,0.4554596543312073,0.48256370425224304,0.2355910986661911
0,1249,0.3494929373264313,0.49193745851516724,0.23386287689208984,,,
1,2499,,,,0.5207428336143494,0.5303093194961548,0.2776057720184326
1,2499,0.5339293479919434,0.5622295141220093,0.29135873913764954,,,
2,3749,,,,0.5549087524414062,0.5603482723236084,0.3031488060951233
2,3749,0.5025858879089355,0.5934410095214844,0.3206545412540436,,,
3,4999,,,,0.5302070379257202,0.5235074162483215,0.2845218777656555
3,4999,0.5354242920875549,0.6233264207839966,0.34881865978240967,,,
4,6249,,,,0.5175468325614929,0.5971685647964478,0.3322664499282837
4,6249,0.5516183972358704,0.6337764859199524,0.3620457947254181,,,
5,7499,,,,0.4653058350086212,0.5249800086021423,0.2851223051548004
5,7499,0.5701318383216858,0.6480293869972229,0.37816014885902405,,,
6,8749,,,,0.5262680053710938,0.5884159207344055,0.33293208479881287
6,8749,0.5879857540130615,0.6576767563819885,0.392343670129776,,,
