epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,624,,,,0.2994033396244049,0.3974510431289673,0.14715056121349335
0,624,0.22854632139205933,0.3789733350276947,0.1419094204902649,,,
1,1249,,,,0.3976365029811859,0.4487460255622864,0.1991027295589447
1,1249,0.3658100664615631,0.4290987253189087,0.18132668733596802,,,
2,1874,,,,0.4416506588459015,0.4847014248371124,0.22642882168293
2,1874,0.4133400619029999,0.4585293233394623,0.2086700201034546,,,
3,2499,,,,0.4383198022842407,0.4823840856552124,0.224980890750885
3,2499,0.4408141076564789,0.4771818220615387,0.22509987652301788,,,
4,3124,,,,0.4677521586418152,0.49523359537124634,0.24180249869823456
4,3124,0.4631350040435791,0.4954065680503845,0.23963387310504913,,,
5,3749,,,,0.48971793055534363,0.5082467794418335,0.25650113821029663
5,3749,0.4755856394767761,0.5069171786308289,0.24820341169834137,,,
6,4374,,,,0.5113444924354553,0.5260729789733887,0.2708238363265991
6,4374,0.4909595251083374,0.5171123147010803,0.25815239548683167,,,
7,4999,,,,0.49210602045059204,0.5077502727508545,0.25653377175331116
7,4999,0.5052774548530579,0.5286101698875427,0.26785048842430115,,,
8,5624,,,,0.5016037225723267,0.5180712342262268,0.26512643694877625
8,5624,0.5212917327880859,0.5395895838737488,0.2784351110458374,,,
9,6249,,,,0.5058629512786865,0.5164676904678345,0.26713186502456665
9,6249,0.45682573318481445,0.5447941422462463,0.27979394793510437,,,
10,6874,,,,0.5196627378463745,0.528663158416748,0.2763989269733429
10,6874,0.4673691689968109,0.5508049726486206,0.28785961866378784,,,
11,7499,,,,0.5195674896240234,0.5333423018455505,0.27685582637786865
11,7499,0.4654374122619629,0.5525949597358704,0.2867753207683563,,,
12,8124,,,,0.5216837525367737,0.5336106419563293,0.27810901403427124
12,8124,0.4822389483451843,0.5626994371414185,0.29994475841522217,,,
13,8749,,,,0.47645869851112366,0.55561363697052,0.2946162223815918
13,8749,0.4848784804344177,0.5688889622688293,0.30225685238838196,,,
14,9374,,,,0.47320476174354553,0.5494593381881714,0.29209449887275696
14,9374,0.48628368973731995,0.5698652863502502,0.3033088445663452,,,
15,9999,,,,0.482435941696167,0.5545700192451477,0.2982911169528961
15,9999,0.4899689257144928,0.5728565454483032,0.3063623607158661,,,
16,10624,,,,0.47421756386756897,0.5582480430603027,0.2923556864261627
16,10624,0.4985085129737854,0.5751575231552124,0.31173112988471985,,,
17,11249,,,,0.47629427909851074,0.551339864730835,0.2919915020465851
17,11249,0.5031733512878418,0.5805231332778931,0.3162926137447357,,,
18,11874,,,,0.47444379329681396,0.5537770986557007,0.29217907786369324
18,11874,0.5048889517784119,0.5835087299346924,0.3175927698612213,,,
19,12499,,,,0.4798024594783783,0.5501200556755066,0.29565876722335815
19,12499,0.5138020515441895,0.5885559320449829,0.3240232467651367,,,
20,13124,,,,0.4900478720664978,0.5596222877502441,0.3038022816181183
20,13124,0.5186578035354614,0.5913520455360413,0.32771092653274536,,,
21,13749,,,,0.5188571810722351,0.5665292143821716,0.32023340463638306
